"","Codigo.particpante","Promedio_Acumulado","Edad_a..os","Sexo.","Grado_Escolar","Colegio","Ciudad_Residencia","Nacionalidad","CI_._Factor.g.R","TA_Total","CI_Total","PE_total","Grit.S","EP_Total","O_total","CP_Total","ESP_Total","PE_Total","DA_Total","Preocupaci..n_perfeccionista","Esfuerzo_Perfeccionista","Perfeccionismo_de_.Frost","PA1","PA2","PA3","PA4","PA5","PA6","PA7","PA8","PA9","PA10","PA11","PA12","PA13","PA14","PA15","PA16","PA.Total","PSP1","PSP2","PSP3","PSP4","PSP5","PSP6","PSP7","PSP8","PSP9","PSP_Total","POO1","POO2","POO3","POO4","POO5","POO6","POO7","POO_Total","iq_g_115","iq_g_128","iq_g_median","even_odd","location","total_score_oros"
"1",1,"3.6",13,"2",6,5,3,1,107,17,3.4375,4.0625,3.75,19,22,9,19,26,13,67,41,108,3,3,2,2,2,1,2,1,3,3,3,1,2,1,3,2,34,2,1,3,2,1,1,1,2,1,14,3,1,2,1,3,1,1,12,"below115","below128","above_m","odd","col",60
"2",2,"2.9",11,"1",6,5,3,1,104,16,3.125,2.8125,2.96875,17,21,14,22,24,18,73,43,116,2,2,2,1,1,2,2,1,2,3,2,3,2,3,3,3,34,2,2,2,2,3,2,1,2,2,18,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","col",59
"3",3,"3.4",15,"2",7,5,3,1,112,23,1.5625,4.0625,2.8125,11,24,10,23,16,8,45,47,92,2,2,1,1,2,1,2,2,1,3,1,1,1,1,2,1,24,2,3,2,1,3,1,3,1,1,17,1,1,1,1,1,1,1,7,"below115","below128","above_m","odd","col",48
"4",4,"",12,"1",7,4,1,1,97,8,5,4.0625,4.53125,22,30,17,32,41,20,100,62,162,3,3,1,2,2,1,2,2,2,2,2,1,1,1,3,3,31,2,3,1,3,3,2,2,1,3,20,1,1,2,1,3,1,1,10,"below115","below128","below_m","even","col",61
"5",5,"",13,"1",8,4,1,1,107,8,4.0625,2.1875,3.125,17,10,17,19,17,8,59,29,88,2,2,3,1,1,3,1,1,1,1,1,1,1,3,1,1,24,1,1,3,1,1,2,3,3,3,18,1,1,3,1,1,1,1,9,"below115","below128","above_m","odd","col",51
"6",6,"",12,"1",6,10,5,2,95,23,3.125,3.75,3.4375,20,25,11,28,24,14,69,53,122,3,3,2,3,2,1,3,3,2,3,1,2,3,1,3,1,36,3,1,2,3,2,1,2,2,2,18,1,1,2,1,2,1,1,9,"below115","below128","below_m","even","mex",63
"7",7,"",14,"2",8,6,1,1,76,23,1.875,3.125,2.5,18,23,15,34,15,17,65,57,122,1,2,2,1,2,3,3,3,1,1,1,3,3,1,1,1,29,3,1,3,3,2,1,2,3,2,20,1,1,2,1,1,1,1,8,"below115","below128","below_m","odd","col",57
"8",8,"",14,"1",8,7,5,2,75,23,4.0625,2.8125,3.4375,14,23,9,21,22,12,57,44,101,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,43,2,2,1,1,1,1,1,1,3,13,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","mex",63
"9",9,"",14,"1",9,7,5,2,101,21,2.8125,4.375,3.59375,14,18,9,32,26,12,61,50,111,3,2,3,2,2,2,3,2,3,2,3,2,3,1,3,1,37,3,1,1,1,1,1,2,1,1,12,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","mex",56
"10",10,"",13,"1",6,6,1,3,107,22,3.125,3.4375,3.28125,12,28,10,26,18,16,56,54,110,3,3,1,3,2,1,3,3,2,3,1,3,3,2,3,2,38,3,1,3,2,3,1,2,1,3,19,1,1,3,1,2,1,1,10,"below115","below128","above_m","even","col",67
"11",11,"",14,"1",8,6,1,1,105,20,3.4375,3.125,3.28125,16,14,8,18,16,12,52,32,84,3,3,2,3,1,1,1,1,3,3,2,3,2,3,3,2,36,2,1,2,1,1,3,2,1,3,16,2,2,1,1,2,1,1,10,"below115","below128","above_m","odd","col",62
